gender,age,numkids,type,memberyears,avg_yrly_visits,offer_fd_penguin,offer_fd_meercat,offer_fd_flamingo,offer_fd_tiger,offer_fd_gecko,offer_sp_penguin,offer_sp_meercat,offer_sp_flamingo,offer_sp_tiger,offer_sp_gecko,support_calls_last_year,churned 
F,41,2,F,5,3.9,Y,Y,Y,N,N,Y,Y,Y,N,N,0,N
M,26,4,F,1,5,Y,N,N,N,N,N,N,N,N,N,1,N
F,35,4,F,3,6.9,N,N,N,N,N,N,N,N,N,N,2,N
F,18,4,F,1,12,N,N,N,N,N,N,N,N,N,N,3,N
M,18,3,F,1,2,N,N,N,N,N,N,N,N,N,N,2,N
M,22,0,R,3,4.8,Y,N,N,N,N,N,N,N,N,N,3,N
F,34,4,F,6,6.8,N,N,N,N,N,N,N,N,N,N,1,N
M,29,2,F,1,2,N,Y,N,N,N,N,Y,N,Y,N,2,N
M,54,1,F,6,1.2,N,Y,N,Y,N,N,N,N,N,N,2,N
M,26,1,F,5,4,N,Y,N,N,N,N,N,N,N,N,3,N
M,53,4,F,3,0.7,N,Y,N,N,N,N,Y,N,N,N,4,N
M,50,3,F,2,8.5,N,N,N,N,N,N,N,N,N,N,1,N
M,38,2,F,3,5.1,N,N,N,N,N,N,N,N,N,N,1,N
M,30,1,F,4,2.5,N,Y,N,N,N,N,N,N,N,N,2,N
F,39,4,F,1,2,N,N,N,N,N,N,N,Y,N,N,0,N
M,38,3,F,11,6.2,N,N,N,N,N,N,N,N,N,N,1,N
F,30,5,F,2,9.2,Y,N,N,N,N,N,N,N,N,N,1,N
M,25,0,S,3,12.6,Y,Y,N,N,N,N,N,N,N,N,1,N
M,38,2,F,9,2.5,N,N,N,N,N,N,N,N,Y,N,1,N
M,35,1,F,7,3.5,N,N,N,N,N,N,N,N,N,N,2,N
M,29,2,F,5,6.2,Y,N,N,N,N,N,N,N,N,N,2,N
M,52,3,F,6,1.5,N,N,N,Y,N,N,N,N,N,N,2,N
M,41,3,F,4,2.2,N,Y,N,N,N,N,N,N,N,N,2,N
F,54,4,F,3,0.8,N,N,N,N,N,N,N,N,N,N,2,N
M,38,3,F,3,0.8,Y,N,N,N,N,N,Y,N,N,N,1,N
M,18,2,F,1,5,Y,N,N,N,N,N,N,N,N,N,1,N
M,18,0,I,2,1.9,N,N,N,N,N,N,N,N,N,N,2,N
F,23,4,F,1,10,N,N,N,N,N,Y,N,N,N,N,3,N
M,47,4,F,6,2.4,N,N,N,N,N,N,N,N,N,N,2,N
M,18,0,R,6,8.4,N,Y,N,N,N,N,Y,N,N,N,1,N
F,43,1,F,5,2,N,Y,N,N,N,N,Y,Y,N,N,2,N
F,43,2,F,6,1,N,N,N,N,N,N,N,N,N,N,1,N
F,39,3,F,1,2,Y,N,N,N,N,N,N,N,N,N,0,N
F,43,4,F,1,2,N,Y,N,N,N,N,N,N,N,N,2,N
F,20,0,S,4,7.1,Y,N,N,N,N,N,N,N,N,N,3,N
M,29,0,I,3,3.5,Y,Y,N,N,N,N,N,N,Y,N,2,N
F,34,2,F,2,5.7,N,N,N,N,N,N,N,N,N,N,1,N
F,40,0,I,2,2.4,N,N,N,N,N,N,N,N,N,N,2,N
F,51,4,F,5,5.8,Y,N,N,N,N,Y,N,N,N,N,4,N
M,37,1,F,3,4.4,N,N,N,Y,N,N,N,N,N,N,1,N
F,59,2,F,5,5.5,Y,N,N,N,N,N,Y,N,N,N,2,N
F,20,1,F,3,2.6,N,Y,N,N,N,N,N,N,N,N,3,N
M,22,0,R,4,9.9,Y,N,N,N,N,N,N,N,N,N,0,N
F,25,0,I,2,3,N,N,N,N,N,N,N,N,N,N,1,N
F,31,4,F,2,1.7,N,N,Y,N,N,N,N,N,N,N,2,N
F,57,4,F,4,3.3,Y,Y,N,N,N,N,N,Y,N,N,2,N
M,21,0,S,4,13.9,N,Y,N,N,N,N,N,Y,Y,N,1,N
F,21,4,F,2,4.8,N,N,N,N,N,N,N,N,N,N,0,N
M,47,3,F,7,1.1,N,N,N,N,N,N,N,N,N,N,1,N
M,23,0,R,8,8.2,N,N,N,N,N,N,N,N,N,N,2,N
F,33,4,F,4,4.7,N,N,N,N,N,N,N,N,N,N,2,N
F,40,2,F,1,7,N,N,N,N,N,N,N,N,N,N,0,N
F,51,1,F,5,0.8,Y,Y,N,N,N,N,N,N,N,N,1,N
F,28,0,I,1,4,N,Y,N,N,N,N,N,N,N,N,1,N
F,22,0,S,2,5.4,Y,N,N,N,N,N,N,N,N,N,0,N
F,42,2,F,1,4,N,N,N,N,N,N,N,N,N,N,0,N
M,57,3,F,10,7,Y,N,N,N,N,N,N,N,N,N,2,N
F,62,4,F,7,1,N,N,N,N,N,N,N,N,N,N,1,N
F,18,0,R,5,4.5,N,Y,N,N,N,N,N,N,N,N,1,N
M,51,2,F,3,4.9,N,N,N,N,N,N,N,N,N,N,2,N
F,30,4,F,4,4.8,N,N,N,N,N,N,N,Y,N,N,2,N
M,35,5,F,5,5.2,N,N,N,N,N,N,N,N,N,N,1,N
M,46,3,F,9,5.8,N,Y,N,N,N,N,N,N,N,N,2,N
M,19,0,R,3,10.4,N,Y,N,N,N,N,Y,N,N,N,0,N
F,18,1,F,3,9.9,Y,N,N,N,N,N,N,N,N,N,1,N
M,38,3,F,2,5.8,N,Y,N,N,N,N,N,N,N,N,2,N
M,38,3,F,5,2.5,Y,N,N,N,N,Y,N,N,N,N,2,N
M,33,2,F,4,3.4,N,N,N,N,N,N,N,N,Y,N,0,N
F,59,2,F,5,1.9,Y,N,N,N,N,N,N,N,N,N,1,N
M,51,2,F,5,4.4,N,N,N,N,N,N,N,N,N,N,1,N
F,18,1,F,4,6.2,N,N,N,N,N,N,N,N,Y,N,1,N
F,46,4,F,4,7.2,N,Y,N,N,N,N,Y,N,N,N,1,N
F,54,0,I,2,5.5,N,N,N,N,N,N,N,N,N,N,2,N
F,46,4,F,4,1.6,N,Y,N,N,N,N,N,N,N,N,2,N
F,21,4,F,3,4.9,N,Y,N,N,N,N,N,N,N,N,2,N
F,21,4,F,2,8.6,Y,Y,N,Y,N,Y,N,Y,N,N,3,N
F,62,3,F,3,1,N,N,N,N,N,N,N,N,N,N,2,N
M,21,0,S,1,5,Y,Y,N,N,N,N,N,N,N,N,1,N
M,29,2,F,1,2,Y,Y,N,N,N,Y,N,N,N,N,2,N
M,53,5,F,5,0.8,N,N,N,N,N,N,N,Y,N,N,0,N
F,22,0,R,5,5,N,N,N,N,N,Y,N,N,N,N,1,N
F,32,3,F,1,9,Y,N,N,N,N,N,N,N,N,N,1,N
F,51,2,F,6,3.6,N,N,N,N,N,N,N,N,N,N,2,N
F,30,0,I,2,2.1,N,N,N,N,N,N,N,N,N,N,1,N
F,20,5,F,4,2.5,N,N,N,N,N,N,N,N,N,N,1,N
F,22,6,F,3,8.1,Y,Y,N,N,N,N,N,N,N,N,1,N
M,39,0,I,3,3.8,N,N,N,N,N,Y,N,N,N,N,0,N
M,34,4,F,1,12,N,N,N,N,N,N,N,N,N,N,0,N
M,59,5,F,4,5.4,N,N,N,Y,N,N,N,N,N,N,3,N
F,18,2,F,8,2.6,Y,N,N,N,N,N,N,N,N,N,1,N
M,31,2,F,2,3.6,N,N,N,N,N,N,N,N,N,N,3,N
F,33,0,I,1,4,Y,Y,N,N,N,Y,Y,N,N,N,1,N
F,18,1,F,4,2,Y,N,N,N,N,N,N,N,N,N,2,N
F,21,0,R,4,8.5,N,N,N,N,N,N,N,N,N,N,3,N
F,24,0,S,2,5.9,N,N,N,N,N,N,N,N,N,N,2,N
M,18,0,I,3,4.2,N,Y,N,Y,N,N,N,N,N,N,0,N
F,24,4,F,6,4.9,Y,Y,N,N,N,Y,Y,N,N,N,3,N
F,18,2,F,3,9.8,Y,Y,N,N,N,N,Y,N,N,N,2,N
F,47,3,F,3,6,Y,N,N,N,N,N,N,N,N,N,0,N
F,62,2,F,8,3.7,N,N,N,N,N,N,N,Y,N,N,1,N
M,32,4,F,7,4.4,Y,N,N,N,N,N,N,N,N,N,0,N
M,49,0,I,2,4.7,N,N,N,N,N,N,Y,N,N,N,1,N
M,60,0,I,2,2.9,N,Y,N,N,N,N,Y,N,N,N,0,N
F,25,4,F,3,3,N,Y,N,N,N,N,N,N,N,N,2,N
F,41,4,F,7,10.2,Y,Y,N,N,N,Y,Y,N,N,N,0,N
F,30,5,F,7,1.9,N,Y,N,N,N,N,N,N,N,N,2,N
F,33,4,F,1,4,N,N,N,N,N,N,N,N,N,N,1,N
M,34,3,F,5,2,N,Y,N,N,N,N,Y,N,N,N,0,N
M,30,4,F,6,4.5,N,N,N,N,N,N,N,N,Y,N,0,N
F,53,0,I,1,6,N,N,N,N,N,N,N,N,N,N,0,N
M,37,3,F,5,2.1,Y,Y,N,N,N,Y,Y,N,N,N,2,N
M,70,5,F,8,3.6,N,Y,N,N,N,N,N,N,N,N,0,N
F,21,0,S,3,4.2,N,N,Y,N,N,N,N,N,N,N,0,N
F,26,2,F,3,6.8,N,Y,N,N,N,N,N,N,N,N,0,N
F,21,0,R,3,7.6,Y,Y,N,Y,N,N,N,N,N,N,2,N
F,24,0,I,1,4,Y,N,N,N,N,Y,N,N,N,N,1,N
M,34,6,F,5,4.1,N,Y,N,Y,N,N,N,N,N,N,1,N
M,39,3,F,9,5.9,Y,N,N,N,N,N,N,N,N,N,0,N
F,20,1,F,6,1.7,N,N,N,N,N,N,N,N,N,N,1,N
F,30,3,F,1,5,N,N,N,N,N,N,N,N,N,N,1,N
M,38,0,I,1,4,N,N,N,N,N,N,N,N,N,N,2,N
F,35,4,F,3,3.4,Y,N,N,N,N,N,N,N,N,N,2,N
F,28,3,F,3,2.8,Y,N,N,N,N,N,N,N,N,N,0,N
F,20,0,R,4,8.1,Y,N,N,N,N,N,N,N,N,N,0,N
F,45,4,F,1,4,N,Y,N,N,N,N,N,N,N,N,2,N
M,25,2,F,5,1.9,Y,Y,N,N,N,N,Y,N,N,N,1,N
F,38,5,F,4,6.3,N,N,N,N,N,N,N,N,N,N,0,N
M,18,0,S,2,4.6,Y,N,N,N,N,N,N,N,N,N,2,N
F,20,3,F,4,1.5,Y,N,N,N,N,Y,Y,N,N,N,2,N
M,48,4,F,3,9.3,Y,Y,N,N,N,Y,N,Y,N,N,0,N
M,34,2,F,4,1.9,N,N,N,N,N,N,N,N,N,N,2,N
M,28,0,I,1,1,N,Y,N,N,N,N,N,N,N,N,2,N
M,29,5,F,3,7.8,N,N,N,N,N,N,N,N,N,N,1,N
M,30,0,I,1,3,N,Y,N,Y,N,N,N,N,N,N,2,N
F,31,3,F,4,2,Y,Y,N,N,N,N,N,N,N,N,1,N
M,42,1,F,7,1.2,N,N,N,N,N,N,N,N,N,N,2,N
F,45,2,F,5,2.2,N,N,N,N,N,N,N,N,N,N,1,N
M,58,1,F,8,1,Y,N,N,Y,N,N,N,N,N,N,4,N
M,30,4,F,4,4.9,N,N,N,N,N,N,N,N,N,N,2,N
M,34,4,F,4,11.1,N,Y,N,N,N,N,N,N,N,N,0,N
F,54,3,F,5,1.2,N,N,N,N,N,N,N,N,Y,N,2,N
F,36,5,F,4,3.8,Y,N,N,N,N,N,N,N,N,N,2,N
M,38,0,I,2,2.6,N,Y,N,N,N,N,N,N,N,N,0,N
F,20,0,S,4,4.4,Y,N,N,N,N,N,N,N,N,N,2,N
M,18,5,F,3,14.1,N,Y,N,N,N,N,N,N,N,N,2,N
M,46,4,F,3,6.3,N,Y,N,N,N,N,Y,N,N,N,3,N
F,26,1,F,2,1.9,N,N,N,N,N,N,N,N,N,N,1,N
F,40,3,F,1,3,N,N,N,N,N,N,N,N,N,N,3,N
F,20,0,I,2,3.2,Y,N,N,N,N,N,N,N,N,N,0,N
M,18,1,F,2,2,Y,Y,N,N,N,N,N,N,N,N,1,N
M,27,0,I,1,3,N,Y,N,N,N,Y,Y,N,N,N,1,N
F,24,1,F,4,1.4,Y,Y,N,N,N,N,N,N,N,N,2,N
M,46,4,F,1,5,Y,N,N,N,N,N,N,N,N,N,3,N
F,20,0,R,4,6.3,N,N,N,N,N,N,N,N,N,N,3,N
F,37,5,F,5,6,N,N,N,Y,N,N,Y,N,N,N,3,N
M,31,4,F,3,7.1,N,N,N,N,N,N,N,N,N,N,1,N
F,28,2,F,2,7,N,N,N,N,N,Y,N,N,N,N,2,N
M,47,2,F,5,1.9,N,N,N,N,N,N,N,N,N,N,1,N
F,28,1,F,6,4.8,N,Y,N,N,N,N,Y,N,Y,N,0,N
F,25,6,F,6,5.1,N,N,N,N,N,N,N,N,N,N,2,N
F,18,0,S,4,6.5,N,N,N,N,N,N,N,N,N,N,1,N
F,26,5,F,3,5.6,Y,Y,N,N,N,Y,Y,N,N,N,3,N
M,23,2,F,5,1.5,N,N,N,N,N,N,N,N,N,N,2,N
F,30,3,F,6,7.9,N,N,N,N,N,Y,N,N,N,N,1,N
F,20,2,F,1,7,N,N,N,N,N,N,N,N,N,N,0,N
F,18,0,I,1,3,N,N,N,N,N,N,N,N,N,N,3,N
M,38,4,F,4,5.7,N,N,N,N,N,N,N,N,N,N,2,N
M,31,2,F,4,5,N,N,N,N,N,N,N,N,N,N,3,N
M,19,0,R,6,6.3,Y,Y,N,N,N,Y,Y,N,N,N,1,N
M,21,0,S,3,4.6,N,Y,N,N,N,N,N,N,N,N,3,N
F,21,0,S,2,6,N,N,N,N,N,N,N,N,N,N,0,N
M,48,3,F,2,6.1,N,N,N,N,N,N,N,N,N,N,1,N
F,22,1,F,7,1.7,Y,Y,N,N,N,N,Y,N,N,N,2,N
F,46,4,F,2,0.9,N,Y,N,N,N,N,N,N,N,N,1,N
F,34,0,I,1,4,N,Y,N,N,N,N,N,N,N,N,1,N
M,50,3,F,3,2.5,N,N,N,N,N,N,N,N,N,N,2,N
F,18,4,F,5,5.3,N,N,N,N,N,N,N,N,N,N,2,N
M,23,5,F,2,5.8,N,Y,N,N,N,N,N,N,N,N,1,N
M,50,4,F,4,2,N,N,N,N,N,N,N,N,N,N,4,N
F,38,1,F,5,2.3,Y,N,N,N,N,N,N,N,N,N,3,N
F,18,0,S,2,6.2,Y,Y,N,N,N,N,Y,N,N,N,2,N
M,33,0,I,2,3,N,N,N,N,N,N,N,N,N,N,1,N
F,37,3,F,2,5.8,N,Y,N,N,N,N,N,N,N,N,2,N
F,42,1,F,7,5.2,Y,N,N,N,N,N,N,N,N,N,2,N
M,21,0,R,4,6.2,N,Y,N,N,N,N,Y,N,N,N,2,N
M,18,0,I,1,5,N,N,N,N,N,Y,Y,N,Y,N,2,N
M,68,4,F,1,3,N,N,N,N,N,N,N,N,N,N,2,N
M,48,2,F,1,3,Y,N,N,N,N,N,N,N,N,N,3,N
M,44,2,F,3,6,Y,N,N,N,N,N,N,N,N,N,3,N
M,43,1,F,4,6,N,N,N,N,N,N,N,N,N,N,3,N
F,50,4,F,3,5.6,N,N,N,N,N,N,N,N,N,N,3,N
F,22,0,S,3,5.2,N,Y,Y,N,N,Y,N,N,N,N,1,N
F,21,0,R,5,6.2,N,N,N,N,N,N,N,N,N,N,2,N
F,20,0,R,2,5.1,N,N,N,N,N,N,N,N,N,N,2,N
M,47,0,I,1,3,Y,N,N,N,N,Y,N,N,N,N,3,N
F,28,1,F,2,7,Y,Y,N,N,N,N,N,N,N,N,0,N
F,18,0,R,7,4,N,N,N,N,N,N,N,N,N,N,1,N
M,36,2,F,5,2.2,N,N,N,N,N,N,N,N,N,N,3,N
M,19,0,R,5,10.9,N,N,N,N,N,N,N,N,N,N,1,N
F,20,0,S,2,10.1,N,Y,N,N,N,N,N,N,N,N,1,N
F,51,5,F,6,3.1,Y,Y,N,N,N,N,N,N,N,N,2,N
M,23,5,F,4,5.8,N,Y,N,Y,N,N,N,N,N,N,2,N
M,18,2,F,3,2.3,Y,N,N,N,N,N,N,N,N,N,1,N
F,24,3,F,1,2,N,N,N,N,Y,N,N,Y,N,N,0,N
M,50,2,F,8,3.2,Y,N,N,N,N,Y,N,N,N,N,0,N
F,33,0,I,1,3,N,N,N,N,N,N,N,N,N,N,1,N
F,26,4,F,3,8.6,N,N,N,N,N,N,N,N,N,N,1,N
M,60,0,I,1,3,N,N,N,N,N,N,N,N,N,N,2,N
M,18,1,F,4,3.7,Y,Y,N,N,N,N,N,N,N,N,3,N
M,40,5,F,2,2.1,Y,Y,N,N,N,N,N,N,N,N,0,N
M,21,0,R,1,5,Y,N,N,N,N,N,N,N,N,N,2,N
M,58,4,F,5,5.4,N,Y,N,N,N,Y,N,N,N,N,1,N
M,36,2,F,7,5.8,N,Y,N,N,N,N,N,N,N,N,1,N
F,22,0,R,2,9.2,N,N,N,N,N,N,Y,N,N,N,2,N
M,43,4,F,7,4.8,N,N,N,N,N,N,N,Y,N,N,1,N
F,44,4,F,5,5.5,N,N,N,N,N,N,N,N,N,N,1,N
F,28,0,I,2,3.7,N,N,N,N,N,N,N,N,N,N,3,N
F,44,6,F,6,10.7,N,N,N,N,N,N,N,N,N,N,2,N
F,58,4,F,9,4.1,N,N,N,N,N,Y,N,N,N,N,1,N
F,50,1,F,6,6.4,N,Y,Y,N,N,N,N,N,N,N,2,N
F,31,1,F,2,3.5,Y,Y,N,N,N,N,N,N,N,N,2,N
F,19,0,R,8,4.9,N,Y,N,N,N,N,Y,N,N,N,1,N
F,45,2,F,4,1.5,Y,N,N,N,N,N,Y,N,N,N,2,N
M,57,3,F,11,4.2,N,N,N,N,N,N,N,N,N,N,1,N
M,38,3,F,11,6,N,N,N,N,N,N,N,N,N,N,2,N
M,50,5,F,3,5.8,N,N,N,N,N,N,N,N,N,N,1,N
M,20,4,F,4,3.3,Y,N,N,Y,N,N,N,N,N,N,2,N
M,51,4,F,6,6.4,N,N,N,N,N,N,N,N,N,N,2,N
F,18,2,F,4,8.7,N,N,N,N,N,N,N,N,N,N,1,N
M,18,0,S,4,4.8,N,N,N,N,N,N,N,N,N,N,2,N
F,49,1,F,2,1.5,N,N,N,N,N,N,N,N,N,N,1,N
F,34,4,F,4,4.4,N,N,N,N,N,N,N,N,Y,N,3,N
F,48,5,F,6,1.9,Y,N,N,N,N,N,N,N,N,N,2,N
F,22,0,S,2,5.5,Y,Y,N,Y,N,N,N,N,N,N,1,N
M,38,5,F,2,3.1,Y,Y,N,N,N,Y,N,N,N,N,3,N
M,33,4,F,1,3,Y,N,N,N,N,N,N,N,N,N,3,N
M,39,5,F,3,8.6,Y,N,N,N,N,N,N,N,N,N,2,N
F,18,0,I,2,4.5,N,N,N,N,N,N,N,N,N,N,0,N
F,45,4,F,5,1.1,Y,Y,N,N,N,Y,Y,Y,N,N,3,N
F,72,0,I,2,4.8,N,N,N,N,N,N,N,N,N,N,2,N
F,29,3,F,5,2.1,Y,Y,N,N,N,Y,N,N,N,N,2,N
F,21,0,R,6,7.6,N,N,N,N,N,N,N,N,N,N,1,N
F,23,1,F,3,1.4,N,Y,N,N,N,N,N,N,N,N,2,N
F,33,2,F,5,1.6,N,N,N,N,N,N,N,N,Y,N,4,N
M,74,0,I,2,1.6,N,N,N,N,N,N,N,N,N,N,0,N
F,33,0,I,1,4,N,Y,N,N,N,N,Y,N,N,N,0,N
M,51,1,F,5,0.9,N,Y,N,N,N,N,Y,N,N,N,1,N
M,20,0,R,7,4.7,N,Y,N,N,N,N,Y,N,N,N,3,N
F,21,0,S,2,5.8,N,Y,N,N,N,Y,N,N,N,N,2,N
M,52,6,F,4,3.3,Y,N,N,N,N,N,N,N,N,N,0,N
F,33,3,F,6,10.2,N,N,N,N,N,N,N,N,N,N,2,N
F,43,6,F,5,4.8,Y,N,N,N,N,N,N,N,N,N,3,N
F,21,0,I,1,2,N,N,N,N,N,N,N,N,N,N,3,N
M,62,0,I,1,3,N,N,N,N,N,N,N,Y,Y,N,1,N
M,63,3,F,2,2.5,N,N,N,N,N,N,N,Y,N,N,2,N
M,46,3,F,4,2.3,N,N,N,N,N,N,N,N,N,N,1,N
M,39,5,F,4,8.7,Y,N,N,N,N,N,N,N,N,N,2,N
F,26,0,I,3,1.8,N,Y,N,N,N,N,N,N,N,N,1,N
F,50,5,F,5,6.4,N,N,N,N,N,N,N,N,N,N,2,N
F,55,4,F,3,0.9,N,N,N,N,N,N,N,N,N,N,2,N
F,34,3,F,2,2.6,Y,N,N,N,N,Y,N,N,N,N,1,N
M,19,0,S,1,5,N,N,N,N,N,N,N,N,N,N,0,N
F,20,0,R,5,10.1,N,N,N,Y,N,N,N,N,N,N,2,N
F,35,2,F,3,2,N,Y,N,N,N,N,Y,N,N,N,1,N
F,55,3,F,8,1.8,Y,Y,N,N,N,N,N,N,Y,N,3,N
M,25,4,F,8,9.4,N,N,N,N,N,N,N,N,N,N,1,N
F,32,5,F,3,1.8,N,Y,N,N,N,N,N,N,N,N,2,N
M,18,0,I,1,3,N,Y,N,N,N,N,N,N,N,N,2,N
F,64,4,F,11,1,Y,Y,N,N,N,Y,N,N,N,N,0,N
F,51,4,F,4,3.4,N,N,N,N,N,N,N,Y,N,N,3,N
F,34,4,F,6,2.2,N,N,N,N,N,N,N,N,N,N,2,N
M,33,6,F,3,7.3,N,N,N,N,N,N,N,N,N,N,2,N
M,44,1,F,5,1,N,N,N,N,N,N,N,N,N,N,2,N
M,18,0,S,3,8.9,Y,N,N,N,N,N,N,N,N,N,1,N
F,21,0,R,5,5.7,Y,Y,N,N,N,Y,Y,N,N,N,1,N
M,66,4,F,8,4.2,N,Y,N,N,N,N,N,N,Y,N,3,N
F,26,1,F,4,4,N,N,N,N,N,N,N,N,N,N,2,N
F,38,5,F,2,11.6,N,N,N,N,N,N,N,N,Y,N,1,N
M,51,0,I,2,5,N,Y,N,N,N,Y,N,N,Y,N,2,N
F,32,4,F,6,4.8,N,Y,N,N,N,N,N,N,N,N,1,N
M,19,0,R,4,3.8,N,Y,N,N,N,N,N,N,N,N,2,N
M,22,0,S,2,8,N,N,N,N,N,N,N,N,N,N,1,N
M,22,0,S,2,5.1,Y,N,N,Y,N,N,N,N,N,N,0,N
M,18,3,F,1,10,N,Y,N,N,N,N,N,N,N,N,0,N
F,25,2,F,7,4.3,N,N,N,N,N,N,N,N,N,N,0,N
F,21,0,S,3,8.4,N,N,N,N,N,N,N,N,N,N,2,N
F,26,6,F,6,2.1,N,N,N,N,N,N,N,Y,N,N,0,N
F,18,3,F,5,5,N,Y,N,N,N,Y,Y,N,N,N,1,N
M,35,0,I,3,5.9,N,N,N,Y,N,N,N,N,N,N,2,N
M,30,5,F,8,6.7,N,N,N,N,N,N,N,N,N,N,3,N
F,38,2,F,4,1.8,N,N,N,N,N,N,N,N,N,N,2,N
F,19,0,S,3,5.1,N,N,N,N,N,N,N,N,N,N,1,N
M,51,4,F,3,0.9,Y,N,N,N,N,N,N,Y,Y,N,1,N
M,30,0,I,2,3.2,Y,Y,N,N,N,Y,Y,N,N,N,3,N
M,60,4,F,4,1.3,N,N,N,N,N,N,N,N,N,N,4,N
F,40,2,F,1,7,Y,Y,N,N,N,N,N,N,N,N,1,N
F,22,0,R,5,4.3,Y,Y,Y,N,N,N,N,N,N,N,2,N
F,26,5,F,3,4.9,N,Y,N,N,N,N,N,N,N,N,2,N
M,30,1,F,4,1.8,N,Y,N,N,N,N,N,N,N,N,0,N
F,35,2,F,3,5.2,N,Y,N,N,N,N,N,N,N,N,2,N
F,42,2,F,7,7,N,N,N,N,N,N,N,N,Y,N,1,N
M,55,1,F,1,3,N,N,N,N,N,N,N,N,N,N,2,N
M,42,0,I,3,4.3,N,N,N,N,N,N,N,N,N,N,0,N
F,48,1,F,4,5.7,N,N,N,N,N,N,N,N,N,N,0,N
M,35,4,F,1,9,N,Y,N,N,N,N,N,N,N,N,3,N
M,45,4,F,5,2.4,N,Y,N,N,N,N,N,N,N,N,2,N
F,24,3,F,4,2.3,N,N,N,N,N,N,N,N,N,N,4,N
F,23,0,S,1,10,N,Y,N,N,N,N,N,N,N,N,3,N
M,19,0,R,7,4.9,Y,Y,N,N,N,N,N,N,N,N,1,N
F,25,2,F,1,4,Y,Y,N,N,N,Y,Y,N,Y,N,3,N
F,30,4,F,8,1.8,N,N,N,N,N,Y,N,N,N,N,2,N
M,30,1,F,2,6.8,N,Y,N,N,N,N,N,N,N,N,2,N
F,23,0,R,5,5.4,N,Y,N,N,N,N,N,N,N,N,3,N
F,20,0,R,6,5.2,N,N,N,N,N,N,N,N,N,N,3,N
F,71,2,F,1,2,N,N,N,N,N,N,N,N,N,N,2,N
M,36,3,F,6,1.7,N,N,N,N,N,N,N,N,N,N,0,N
F,28,4,F,2,2.5,N,Y,N,N,N,N,N,N,N,N,1,N
F,26,4,F,7,3.7,N,N,N,N,N,N,N,N,N,N,0,N
M,43,2,F,3,2.3,Y,N,N,N,N,N,N,N,N,N,2,N
M,29,1,F,3,2.6,Y,N,N,N,N,Y,N,N,N,N,2,N
M,24,5,F,5,1.6,N,Y,N,Y,N,N,N,N,N,N,4,N
M,28,0,I,1,4,N,N,N,N,N,N,N,N,N,N,4,N
M,28,0,I,2,2.8,N,N,N,N,N,Y,N,N,N,N,3,N
M,61,1,F,8,1.3,Y,Y,N,N,N,N,N,N,Y,N,1,N
M,33,0,I,1,4,N,Y,N,N,N,N,N,N,N,N,3,N
F,20,0,R,5,6.4,N,N,N,N,N,N,N,N,N,Y,1,N
F,63,6,F,3,0.7,N,N,N,N,N,N,N,N,N,N,2,N
M,38,3,F,5,3.3,N,N,N,N,N,N,N,N,N,N,2,N
F,32,2,F,4,5.9,N,N,N,N,N,N,N,N,N,N,3,N
F,41,5,F,4,11.6,Y,Y,N,N,N,Y,N,N,N,N,2,N
F,45,2,F,1,5,Y,N,N,N,N,N,N,N,N,N,2,N
F,40,4,F,6,7.8,Y,N,N,N,N,N,N,N,N,N,1,N
M,18,2,F,4,8.8,N,N,N,N,N,N,N,N,N,N,1,N
M,18,4,F,4,7.7,N,N,N,N,N,N,N,N,Y,N,4,N
F,30,4,F,2,2.4,N,N,N,N,N,N,N,N,N,N,1,N
M,69,0,I,1,3,N,N,N,N,N,N,N,N,N,N,3,N
M,46,2,F,1,2,N,N,N,N,N,Y,N,N,N,N,0,N
M,28,2,F,4,5.2,N,N,N,N,N,N,N,N,N,N,2,N
M,20,0,S,2,3.6,N,N,N,N,N,N,N,N,N,N,2,N
F,26,1,F,4,1.6,N,N,N,N,N,N,N,N,N,N,1,N
M,18,0,I,1,3,N,N,N,N,N,N,N,N,N,N,3,N
F,37,1,F,6,6.8,Y,Y,N,N,N,N,N,N,N,N,1,N
F,20,0,R,8,5.6,N,N,N,N,N,N,N,N,N,N,2,N
M,36,4,F,4,2.1,N,N,N,N,N,N,N,N,N,N,0,N
F,20,0,S,2,7.4,Y,Y,N,N,N,N,Y,N,N,N,1,N
M,24,0,R,4,8.7,Y,Y,N,N,N,N,N,N,N,N,2,N
M,55,2,F,3,6.1,N,Y,N,N,N,N,N,N,N,N,0,N
F,23,0,R,9,7.1,N,Y,Y,N,N,N,N,N,Y,N,1,N
M,18,0,S,3,6.8,N,Y,N,N,N,N,N,N,N,N,2,N
F,41,3,F,2,2.3,Y,Y,N,N,N,N,N,N,N,N,2,N
M,21,0,R,5,3.6,N,Y,N,N,N,N,N,N,N,N,2,N
F,42,3,F,3,2.2,N,N,N,N,N,N,N,N,N,N,1,N
F,24,4,F,3,1.6,N,Y,N,N,N,Y,N,Y,N,N,2,N
F,51,5,F,2,7.3,N,N,N,N,N,N,N,N,N,N,2,N
M,64,3,F,11,0.9,Y,Y,N,N,N,N,N,N,N,N,3,N
F,41,0,I,1,6,N,Y,N,N,N,N,Y,N,N,N,1,N
M,56,6,F,5,4.8,Y,Y,N,N,N,Y,N,N,N,N,2,N
F,30,2,F,1,2,N,Y,N,N,N,N,Y,N,N,N,4,N
F,32,2,F,3,1.5,N,N,N,N,N,N,N,N,N,N,2,N
